Type de contenu,Titre,Texte principal,Questions,Réponses
Statuts et fiscalité,Pouvez-vous souscrire au régime de la micro-entreprise ?,"Le régime micro-entrepreneur permet des démarches simplifiées pour la création, la déclaration, et le paiement des cotisations et contributions sociales. Il offre un abattement forfaitaire sur le chiffre d'affaires et la possibilité d'opter pour le versement libératoire de l'impôt sur le revenu.",Qu'est-ce que le régime de la micro-entreprise ?,"C'est un régime simplifié pour la création et la gestion de l'activité, avec des abattements forfaitaires et des démarches allégées."
Statuts et fiscalité,Conditions pour bénéficier du régime de la micro-entreprise,Le régime de la micro-entreprise est accessible aux entrepreneurs dont le chiffre d'affaires ne dépasse pas 188 700 € pour la vente de marchandises et 77 700 € pour les prestations de services. Ces seuils sont proratisés en cas de début d'activité en cours d'année.,Quels sont les seuils de chiffre d'affaires pour bénéficier du régime de la micro-entreprise ?,188 700 € pour les ventes de marchandises et 77 700 € pour les prestations de services.
Statuts et fiscalité,Activités exclues du régime de la micro-entreprise,"Certaines activités, comme les activités agricoles, les professions libérales réglementées, et les activités relevant de la TVA immobilière, sont exclues du régime de la micro-entreprise.",Quelles activités sont exclues du régime de la micro-entreprise ?,"Les activités agricoles, les professions libérales réglementées, et les activités relevant de la TVA immobilière."
Statuts et fiscalité,Démarches pour devenir micro-entrepreneur,"Pour devenir micro-entrepreneur, il faut immatriculer son entreprise en ligne via le site Formalités entreprises, qui transmettra la déclaration aux organismes compétents comme l'INPI, le greffe, et les organismes sociaux.",Quelles sont les démarches pour devenir micro-entrepreneur ?,"Il faut immatriculer l'entreprise en ligne via le site Formalités entreprises, qui transmet la déclaration aux organismes compétents."
Statuts et fiscalité,Dispenses pour les micro-entrepreneurs depuis la loi PACTE,"Depuis la loi PACTE de 2019, les micro-entrepreneurs sont dispensés de suivre un stage préalable à l'installation et d'ouvrir un compte bancaire dédié si le chiffre d'affaires ne dépasse pas 10 000 € pendant deux années consécutives.",Quelles dispenses la loi PACTE a-t-elle introduites pour les micro-entrepreneurs ?,La loi PACTE dispense les micro-entrepreneurs de suivre un stage d'installation et d'ouvrir un compte bancaire dédié sous certaines conditions.
Fiscalité Micro-entreprise,Comment fonctionne le versement libératoire de l'impôt sur le revenu ?,"Le versement forfaitaire libératoire (VFL) permet aux micro-entrepreneurs de régler leurs impôts et cotisations sociales en fonction de leur chiffre d'affaires, de manière mensuelle ou trimestrielle, sans régularisation l'année suivante.",Qu'est-ce que le versement libératoire de l'impôt sur le revenu (VFL) ?,"Le VFL permet de payer impôts et cotisations sociales selon le chiffre d'affaires tout au long de l'année, sans régularisation."
Fiscalité Micro-entreprise,Conditions pour obtenir le versement libératoire,"Pour bénéficier du VFL, le revenu fiscal de référence de l'avant-dernière année ne doit pas dépasser 28 797 € par part de quotient familial. Le chiffre d'affaires ne doit pas non plus dépasser les seuils de la micro-entreprise.",Quelles sont les conditions pour obtenir le versement libératoire ?,"Le revenu fiscal de référence ne doit pas dépasser 28 797 € par part, et le chiffre d'affaires doit respecter les seuils de la micro-entreprise."
Fiscalité Micro-entreprise,Comment déclencher le régime du versement libératoire ?,La demande doit être faite auprès de l'Urssaf avant le 30 septembre pour l'année suivante ou dans les trois mois suivant la création de l'activité.,Comment déclencher le régime du versement libératoire ?,Faites une demande auprès de l'Urssaf avant le 30 septembre ou dans les trois mois suivant la création de l'activité.
Fiscalité Micro-entreprise,Taux d’imposition applicables au VFL,"Les taux d'imposition varient selon l'activité : 1 % pour la vente de marchandises, 1,7 % pour les prestations de services, et 2,2 % pour les bénéfices non commerciaux.",Quels sont les taux d'imposition applicables au VFL ?,"1 % pour la vente de marchandises, 1,7 % pour les prestations de services, et 2,2 % pour les bénéfices non commerciaux."
Fiscalité Micro-entreprise,Modalités de sortie du dispositif VFL,"Pour sortir du VFL, une demande doit être faite à l'Urssaf avant le 30 septembre. Le dispositif prend fin si le chiffre d'affaires dépasse les seuils ou si les revenus du foyer fiscal excèdent les limites autorisées.",Quelles sont les modalités de sortie du dispositif VFL ?,"Demandez à l'Urssaf avant le 30 septembre, ou le dispositif prend fin si le chiffre d'affaires ou les revenus dépassent les seuils."
Fiscalité,TVA : présentation des différents régimes,"Il existe trois régimes d'imposition à la TVA : le régime de franchise en base (exonération de TVA), le régime simplifié, et le régime réel normal. Chaque régime dépend du chiffre d'affaires de l'entreprise et peut être choisi sur option pour un régime supérieur.",Quels sont les différents régimes d'imposition à la TVA ?,"Les régimes sont : franchise en base (exonération de TVA), simplifié (déclaration annuelle), et réel normal (déclaration mensuelle)."
Fiscalité,TVA : régime de la franchise en base,"La franchise en base de TVA exonère les entreprises de la déclaration et du paiement de la TVA. Pour bénéficier de ce régime, le chiffre d'affaires ne doit pas dépasser : 91 900 € pour les ventes de biens ou 36 800 € pour les services. Si ces seuils sont dépassés, l'entreprise perd le bénéfice de la franchise en base dès le mois du dépassement.",Quelles sont les conditions pour bénéficier de la franchise en base de TVA ?,Le chiffre d'affaires annuel ne doit pas dépasser 91 900 € pour les ventes de biens ou 36 800 € pour les prestations de services.
Fiscalité,TVA : régime simplifié,"Le régime simplifié est applicable aux entreprises avec un chiffre d'affaires compris entre 91 900 € et 840 000 € pour les biens, et entre 36 800 € et 254 000 € pour les services, avec une TVA annuelle inférieure à 15 000 €. Les entreprises doivent payer deux acomptes provisionnels en juillet et décembre, et faire une déclaration annuelle de régularisation.",Comment fonctionne le régime simplifié de TVA ?,Le régime simplifié nécessite deux acomptes annuels et une déclaration annuelle de TVA pour régulariser les paiements.
Fiscalité,TVA : régime réel normal,Le régime réel normal s'applique aux entreprises avec un chiffre d'affaires supérieur à 840 000 € pour les biens ou 254 000 € pour les services. La TVA doit être déclarée et payée chaque mois via le formulaire 3310-CA3. Une déclaration trimestrielle est possible si la TVA annuelle est inférieure à 4 000 €.,Quelles sont les obligations du régime réel normal de TVA ?,"Les entreprises doivent déclarer et payer la TVA chaque mois, ou trimestriellement si la TVA annuelle est inférieure à 4 000 €."
Fiscalité,Obligations spécifiques et exclusions des régimes de TVA,"Certaines opérations, comme les importations ou les travaux de construction réalisés par des entreprises nouvelles, sont exclues du régime simplifié. De plus, des activités comme l'agriculture ou les opérations immobilières peuvent être soumises à des régimes spécifiques.",Quelles opérations sont exclues du régime simplifié de TVA ?,"Les importations, certaines opérations immobilières, et les travaux de construction lors de la création ou reprise d'une entreprise."
Fiscalité,Article 151-0 : Versement libératoire de l'impôt sur le revenu,"L'article 151-0 permet aux contribuables de choisir un versement libératoire de l'impôt sur le revenu, basé sur le chiffre d'affaires, s'ils remplissent certaines conditions, comme être soumis aux régimes des articles 50-0 ou 102 ter et respecter des seuils de revenu fiscal.",Qu'est-ce que l'article 151-0 prévoit pour le versement libératoire ?,"Il permet un versement libératoire de l'impôt pour les contribuables éligibles, basé sur leur chiffre d'affaires."
Fiscalité,Conditions pour le versement libératoire selon l'article 151-0,"Pour opter pour le versement libératoire, les contribuables doivent être soumis aux régimes des articles 50-0 ou 102 ter, avoir un revenu fiscal de référence sous un certain seuil, et être affiliés au régime de sécurité sociale prévu à l'article L. 613-7.",Quelles conditions doivent être remplies pour le versement libératoire ?,"Être sous les régimes des articles 50-0 ou 102 ter, avoir un revenu fiscal sous le seuil, et être affilié à la sécurité sociale selon L. 613-7."
Fiscalité,Taux de versement libératoire selon l'article 151-0,"Les versements sont calculés selon le chiffre d'affaires avec des taux de 1 % pour les ventes, 1,7 % pour les prestations de services, et 2,2 % pour les bénéfices non commerciaux.",Quels sont les taux appliqués pour le versement libératoire ?,"1 % pour les ventes, 1,7 % pour les services, et 2,2 % pour les bénéfices non commerciaux."
Fiscalité,Cessation du versement libératoire selon l'article 151-0,"L'option pour le versement libératoire cesse si les régimes des articles 50-0 et 102 ter ne s'appliquent plus ou si les revenus dépassent le seuil défini. Dans ces cas, les versements peuvent être imputés sur l'impôt dû, avec restitution de l'excédent.",Dans quels cas le versement libératoire cesse-t-il ?,Il cesse si les régimes des articles 50-0 et 102 ter ne s'appliquent plus ou si les revenus dépassent le seuil.
Fiscalité,Déclaration et recouvrement selon l'article 151-0,Les versements sont effectués avec les mêmes règles et garanties que pour les cotisations sociales. Les contribuables doivent déclarer les informations sur leur chiffre d'affaires selon les articles 50-0 et 102 ter.,Comment sont effectués les versements et le recouvrement selon l'article 151-0 ?,"Les versements suivent les règles des cotisations sociales, et les informations doivent être déclarées selon les articles 50-0 et 102 ter."
Impôt sur le revenu,Revenu brut global,"Le revenu brut global est la somme des revenus perçus sur une année civile, comme les salaires, pensions, retraites, bénéfices (BIC, BNC, BA), revenus fonciers et plus-values immobilières. Des abattements comme celui de 10 % pour les salaires et retraites s'appliquent.",Qu'est-ce que le revenu brut global ?,"C'est la somme des revenus perçus sur l'année civile avant abattements, incluant salaires, retraites, bénéfices, etc."
Impôt sur le revenu,Revenu net global,"Le revenu net global est obtenu en déduisant du revenu brut global les charges déductibles, comme les pensions alimentaires, les cotisations d'épargne-retraite, et une partie de la CSG sur les revenus du patrimoine.",Comment calcule-t-on le revenu net global ?,"On déduit du revenu brut global les charges déductibles, comme les pensions alimentaires et les cotisations d'épargne-retraite."
Impôt sur le revenu,Revenu net imposable,"Le revenu net imposable est calculé à partir du revenu net global, avec des abattements spéciaux pour certaines situations comme les personnes âgées, les invalides, ou les particuliers ayant des enfants rattachés à leur foyer fiscal.",Qu'est-ce que le revenu net imposable ?,"C'est le revenu soumis au barème progressif de l'impôt, après abattements spéciaux pour certaines situations."
Impôt sur le revenu,Revenu fiscal de référence,"Le revenu fiscal de référence est utilisé pour certaines prestations sociales et exonérations. Il est calculé à partir du revenu net imposable, en y ajoutant certains revenus exonérés, revenus soumis à prélèvement libératoire, et charges déductibles.",À quoi sert le revenu fiscal de référence ?,"Il est utilisé pour les prestations sociales et exonérations, et se calcule à partir du revenu net imposable avec des ajustements."
Impôt sur le revenu,Montant net social,"Depuis le 1er juillet 2023, le bulletin de salaire inclut le montant net social, qui est le montant exact à déclarer pour les demandes de RSA et de Prime d'activité. Il concerne les revenus de remplacement comme les pensions de retraite ou allocations chômage.",Qu'est-ce que le montant net social sur le bulletin de salaire ?,"C'est le montant exact à déclarer pour le RSA et la Prime d'activité, incluant les revenus de remplacement."
Fiscalité,BIC : Qui est concerné ?,"Les BIC (bénéfices industriels et commerciaux) concernent les bénéfices réalisés par les personnes exerçant une activité commerciale, industrielle ou artisanale. Cela inclut la vente de marchandises, les opérations de marchand de biens, et certaines activités assimilées comme la location immobilière.",Qui est concerné par les BIC ?,"Les personnes physiques exerçant des activités commerciales, industrielles ou artisanales, y compris les locations immobilières."
Fiscalité,BNC : Qui est concerné ?,"Les BNC (bénéfices non commerciaux) concernent les revenus des professions libérales et des charges et offices, comme les notaires et huissiers. Cela inclut les activités professionnelles non commerciales exercées individuellement ou en tant qu'associé.",Qui est concerné par les BNC ?,"Les personnes exerçant des professions libérales ou titulaires de charges et offices, comme les notaires et huissiers."
Fiscalité,Régimes d'imposition pour BIC et BNC,"Pour les BIC, le régime micro s'applique jusqu'à 188 700 € pour la vente de biens ou 77 700 € pour les services. Pour les BNC, le régime micro s'applique jusqu'à 77 700 €. Au-delà de ces seuils, le régime réel simplifié ou normal s'applique.",Quels sont les régimes d'imposition pour les BIC et BNC ?,"Le régime micro s'applique sous certains seuils, au-delà desquels le régime réel simplifié ou normal est requis."
Fiscalité,Calcul du bénéfice imposable pour BIC et BNC,"Pour les BIC, le bénéfice imposable dépend du régime : en micro-BIC, des abattements de 71 %, 50 %, ou 30 % s'appliquent selon l'activité. Pour les BNC, le micro-BNC bénéficie d'un abattement forfaitaire de 34 %. Les régimes réels calculent le bénéfice net après déduction des charges.",Comment est calculé le bénéfice imposable pour les BIC et BNC ?,"En micro, des abattements s'appliquent ; en régime réel, le bénéfice net est calculé après déduction des charges."
Fiscalité,Déclaration des BIC et BNC,"Les BIC doivent être déclarés avec le formulaire 2042 C Pro. Pour le régime réel, les formulaires 2031 et annexes sont nécessaires. Les BNC sont déclarés avec le formulaire 2042 C Pro et, en cas de déclaration contrôlée, le formulaire 2035 et ses annexes.",Comment déclarer les BIC et BNC ?,"Les BIC se déclarent avec le 2042 C Pro ; pour le régime réel, utilisez le 2031. Les BNC se déclarent avec le 2042 C Pro ou le 2035 pour la déclaration contrôlée."
Fiscalité,Régime réel d'imposition pour les BNC,"Le régime réel d'imposition des BNC s'applique aux revenus d'activités libérales, comme les entrepreneurs individuels ou les titulaires de charges. Les BNC sont calculés en déduisant les charges professionnelles, telles que les loyers, amortissements, et dépenses de formation.",Qu'est-ce que le régime réel d'imposition pour les BNC ?,"C'est un régime où les revenus sont calculés après déduction des charges professionnelles, comme les loyers et amortissements."
Fiscalité,Charges déductibles pour les BNC,"Les charges déductibles incluent le loyer des locaux professionnels, les amortissements, les dépenses comptables, les droits de mutation, et les frais de propriété intellectuelle. Certaines dépenses spécifiques, comme celles pour obtenir une qualification, sont aussi déductibles.",Quelles sont les charges déductibles pour les BNC ?,"Loyers, amortissements, dépenses comptables, droits de mutation, frais de propriété intellectuelle, et dépenses de formation."
Fiscalité,Sanctions en cas de retard ou de défaut de déclaration,"Les entreprises en retard de déclaration s'exposent à des majorations de 10 %, 40 %, ou 80 % selon la gravité du manquement. Des amendes de 5 % s'appliquent pour des documents manquants ou incomplets.",Quelles sont les sanctions pour retard ou défaut de déclaration ?,"Majoration de 10 %, 40 %, ou 80 % selon la situation, et amendes de 5 % pour des documents manquants ou incomplets."
Fiscalité,Options de paiement des acomptes pour les BNC,"Les acomptes d'impôt sont prélevés automatiquement le 15 de chaque mois, sauf si l'entreprise opte pour un prélèvement trimestriel. L'option trimestrielle doit être formulée avant le 1er octobre et est reconduite automatiquement.",Comment fonctionnent les acomptes pour les BNC ?,"Les acomptes sont prélevés mensuellement ou trimestriellement, avec une option à formuler avant le 1er octobre."
